|                            Parameters | 4FGL J0534.5+2200.spectral.index | 4FGL J0534.5+2200.spectral.amplitude | 4FGL J0534.5+2200.spectral.reference | 4FGL J0534.5+2200.spectral.lambda_ | 4FGL J0534.5+2200.spectral.alpha | 4FGL J0534.5+2200.spatial.lon_0 | 4FGL J0534.5+2200.spatial.lat_0 | 4FGL J0534.5+2201s.spectral.index | 4FGL J0534.5+2201s.spectral.amplitude | 4FGL J0534.5+2201s.spectral.reference | 4FGL J0534.5+2201s.spatial.lon_0 | 4FGL J0534.5+2201s.spatial.lat_0 | 4FGL J0534.5+2201i.spectral.amplitude | 4FGL J0534.5+2201i.spectral.reference | 4FGL J0534.5+2201i.spectral.alpha | 4FGL J0534.5+2201i.spectral.beta | 4FGL J0534.5+2201i.spatial.lon_0 | 4FGL J0534.5+2201i.spatial.lat_0 | 4FGL J0534.5+2201i.spatial.sigma | 4FGL J0534.5+2201i.spatial.e | 4FGL J0534.5+2201i.spatial.phi | 4FGL J0521.7+2112.spectral.amplitude | 4FGL J0521.7+2112.spectral.reference | 4FGL J0521.7+2112.spectral.alpha | 4FGL J0521.7+2112.spectral.beta | 4FGL J0521.7+2112.spatial.lon_0 | 4FGL J0521.7+2112.spatial.lat_0 | galdiff.spectral.index | galdiff.spectral.amplitude | galdiff.spectral.reference | isodiff.spectral.norm | isodiff.spectral.tilt | isodiff.spectral.reference | isodiff.spatial.value |
|      4FGL J0534.5+2200.spectral.index |              0.16037247284404563 |              -0.00023236601301700148 |                                  0.0 |                -479.79302129806723 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
|  4FGL J0534.5+2200.spectral.amplitude |          -0.00023236601301700148 |                3.465269574647311e-07 |                                  0.0 |                 0.7165609176164125 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
|  4FGL J0534.5+2200.spectral.reference |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
|    4FGL J0534.5+2200.spectral.lambda_ |              -479.79302129806723 |                   0.7165609176164125 |                                  0.0 |                  1561337.569676044 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
|      4FGL J0534.5+2200.spectral.alpha |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
|       4FGL J0534.5+2200.spatial.lon_0 |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
|       4FGL J0534.5+2200.spatial.lat_0 |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
|     4FGL J0534.5+2201s.spectral.index |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
| 4FGL J0534.5+2201s.spectral.amplitude |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                 1.716087367567902e-07 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
| 4FGL J0534.5+2201s.spectral.reference |                              0.0 |                                  0.0 |                                  0.0 |                                0.0 |                              0.0 |                             0.0 |                             0.0 |                               0.0 |                                   0.0 |                                   0.0 |                              0.0 |                              0.0 |                                   0.0 |                                   0.0 |                               0.0 |                              0.0 |                              0.0 |                              0.0 |                              0.0 |                          0.0 |                            0.0 |                                  0.0 |                                  0.0 |                              0.0 |                             0.0 |                             0.0 |                             0.0 |                    0.0 |                        0.0 |                        0.0 |                   0.0 |                   0.0 |                        0.0 |                   0.0 |
