#
#   VizieR Astronomical Server: webviz.u-strasbg.fr 	2009-01-26T15:38:35
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VOTx4430	
#INFO	-out.max=50000	

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue\vizContent{timeSerie}
#Column	_RAJ2000	(F10.6)	Right ascension (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DEJ2000	(F10.6)	Declination (FK5) Equinox=J2000.0 Epoch=J2000.000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#_RAJ2000	_DEJ2000	HIP	Vmag	B-V
#deg	deg		mag	mag
#----------	----------	------	-----	------
* V 10
  0.005024	 38.859279	     3	 6.61	-0.019
  0.037336	 46.939997	    11	 7.34	 0.081
  0.048422	 -0.360450	    14	 7.25	 1.200
  0.053309	 38.304050	    19	 6.53	 0.955
  0.066388	  8.007234	    21	 7.55	 1.438
  0.074565	 13.312234	    23	 7.57	 0.456
  0.079564	-44.290561	    25	 6.28	 0.763
  0.098082	  2.675477	    31	 7.63	 1.453
  0.099585	 26.918108	    34	 6.43	 0.514
  0.103399	 12.267128	    36	 7.68	 1.150
  0.112292	-16.697009	    39	 7.46	 0.475
  0.128702	 59.559679	    43	 6.18	 1.032
  0.132749	 -3.306323	    44	 7.91	 1.104
  0.135236	-40.690474	    48	 7.31	 1.164
  0.143085	-53.097713	    50	 6.49	 0.616
  0.158833	-66.683173	    55	 7.40	 0.551
  0.173519	 62.175898	    58	 7.05	 0.520
  0.181810	 45.253334	    63	 6.36	-0.047
  0.199343	 23.538219	    67	 7.83	 0.495
  0.220329	 66.848011	    73	 6.90	 1.446
  0.223273	-50.446459	    75	 7.42	 1.524
  0.261496	 -5.835002	    87	 7.80	 0.430
  0.269093	-48.809876	    88	 5.71	 0.911
  0.277155	 53.166943	    89	 7.87	 1.566
  0.280082	-41.887544	    90	 7.64	 0.500
  0.280531	 -5.874348	    91	 7.66	 1.300
  0.316063	 60.355282	    99	 7.04	 2.835
  0.320488	-41.487437	   102	 7.05	 1.550
  0.327808	 70.928938	   105	 7.73	 0.455
  0.330215	 49.981558	   106	 6.22	 0.970
  0.333830	-50.337373	   107	 5.53	 1.615
  0.346594	  6.791470	   109	 7.23	 0.388
  0.371647	 30.735785	   114	 7.95	 0.654
  0.372585	-62.923130	   115	 7.46	 0.160
  0.390166	 44.675401	   119	 6.82	 1.071
  0.396425	 28.423691	   121	 6.83	 1.197
  0.398766	-77.065724	   122	 4.78	 1.254
  0.399885	 72.236615	   123	 7.21	 1.169
  0.404231	 61.222801	   124	 5.58	 0.407
  0.414415	 73.611847	   128	 6.50	 0.182
  0.423476	-40.148702	   133	 6.62	 0.545
  0.428692	 24.253113	   136	 6.60	 1.153
  0.432706	 42.367144	   137	 6.25	-0.042
  0.437444	-16.531661	   138	 7.83	 1.074
  0.453777	 66.306032	   142	 7.33	 0.730
  0.456035	 -3.027504	   145	 5.13	-0.128
  0.480305	-37.229953	   150	 7.04	 1.060
  0.484874	-41.613774	   151	 7.78	 0.411
  0.490079	 -6.014072	   154	 4.37	 1.631
  0.500846	-37.901878	   158	 7.09	 0.999
  0.510907	 -2.766171	   159	 6.93	 0.292
  0.519136	 59.940102	   164	 7.98	 0.970
  0.542313	 27.082256	   171	 5.80	 0.690
  0.552408	 49.771086	   175	 7.84	 0.923
  0.568068	-27.135153	   178	 7.97	 0.556
  0.569515	-13.407437	   179	 6.90	 0.534
  0.573772	 60.703168	   181	 6.77	 1.832
  0.583003	-29.720414	   183	 5.04	-0.150
  0.600696	  8.956824	   186	 6.33	 0.182
  0.623759	  8.485463	   194	 5.70	 0.315
  0.625781	 47.422890	   195	 7.62	 0.517
  0.635004	 16.256565	   199	 7.24	 0.074
  0.650362	 66.098966	   207	 5.87	 1.073
